;;;St → Saint, R.C. → RC have been normalized throughout
;Belize District 80;;
;;;
P50105;Santa Cruz Government Primary School;;
P54101;Shiloh SDA Primary School;;
P53402;Silk Grass Methodist Primary School;;
P53201;Sittee River Methodist Primary;;
P56001;Solid Rock Christian Academy;;
P51201;Saint Alphonsus RC Primary;;
P51404;Saint Augustine RC Primary School;;
P52201;Saint John's Memorial Anglican Primary School;;
P51403;Saint Jude RC Primary School;;
P52402;Saint Matthew'd Anglican Primary School;;
S59001;Stann Creek Ecumenical College ;;
P50104;United Community Primary;;
P54001;Zion SDA Primary School;;
;;;
;Toledo District 64;;
;;;
P61101;Aguacate RC Primary;;
S60103;Bella Vista Government Secondary School;;
P64001;Bethel SDA Primary;;
P61401;Big Falls RC Primary;;
P68470;Blue Creek Mennonite Primary;;
P61201;Blue Creek RC Primary;;
P61104;Corazon Creek RC Primary;;
S60102;Corazon Creek Technical High ;;
P60102;Crique Jute Government Primary;;
P61407;Fabian Cayetano RC Primary;;
P58402;Fair View School;;
P63401;Forest Home Methodist Primary;;
S50301;Georgetown Technical High School;;
P48101;Indian Creek Mennonite Community Primary;;
P61202;Indian Creek RC Primary;;
P61107;Jalacte RC Primary;;
P68460;Jordan Mennonite Primary;;
S60101;Julian Cho Technical High School;;
P60201;Laguna Government Primary;;
P61403;Little Flower RC Primary;;
P60401;Living Word Primary;;
P60205;Mabil Ha Government Primary;;
P61109;Machakilha RC Primary;;
P63402;Mafredi Methodist Primary;;
S67101;Mafredi VoTech School;;
P60203;Medina Bank Government Primary;;
P60103;Midway Government Primary;;
P60101;NaLuumCa Government Primary School;;
P61301;Our Lady Of Bella VistaRC Primary;;
P61106;Our Lady Of Sorrows RC Primary;;
P68401;Pine Hill Mennonite Community;;
S64101;Providence SDA High School;;
P63001;Punta Gorda Methodist Primary;;
P61105;Sacred Heart RC Primary School;;
P61111;San Benito Poite RC Primary;;
P60202;San Felipe Government Primary;;
P61203;San Francisco DeJeronimo Primary;;
P60109;San Isidro Government Primary;;
P61112;San Jose RC Primary;;
P61119;San Lucas RC Primary;;
P61404;San Luis Rey RC Primary;;
P61113;San Marcos RC Primary;;
P61405;San Miguel RC Primary;;
P61406;San Pedro Columbia RC Primary;;
P61114;San Vicente RC Primary;;
P60204;Santa Ana Government School;;
P61115;Santa Cruz RC Primary;;
P61116;Santa Elena RC Primary;;
P61117;Santa Teresa RC Primary;;
P61205;Silver Creek RC Primary School;;
P61003;Saint Benedict RC Primary;;
P60105;Saint Cuthberts Primary School;;
P61103;Saint John The Baptist RC Primary School;;
P61102;Saint Joseph RC Primary School;;
P61110;Saint Mark's RC Primary School;;
P61408;Saint Paul's RC Primary School;;
P61002;Saint Peter Claver Primary School;;
P61402;Saint Phillip RC Primary School;;
P62102;Saint Stephen's Anglican Primary School;;
P61118;Sunday Wood RC Primary School;;
P67401;Toledo Christian Academy Primary School;;
S69001;Toledo Community College ;;
P60107;Trio Government Primary School;;
S67102;Tumul K’in Center of Learning;;
